,Unnamed: 0,Symbol,Name,Sector
412,418,SBUX,Starbucks Corp.,Consumer Discretionary
413,419,STT,State Street Corp.,Financials
414,420,SRCL,Stericycle Inc,Industrials
415,421,SYK,Stryker Corp.,Health Care
416,422,STI,SunTrust Banks,Financials
417,423,SIVB,SVB Financial,Financials
418,424,SYMC,Symantec Corp.,Information Technology
419,425,SYF,Synchrony Financial,Financials
420,426,SNPS,Synopsys Inc.,Information Technology
421,427,SYY,Sysco Corp.,Consumer Staples
422,428,TROW,T. Rowe Price Group,Financials
423,429,TTWO,Take-Two Interactive,Information Technology
424,430,TPR,"Tapestry, Inc.",Consumer Discretionary
425,431,TGT,Target Corp.,Consumer Discretionary
426,432,TEL,TE Connectivity Ltd.,Information Technology
427,433,FTI,TechnipFMC,Energy
428,434,TXN,Texas Instruments,Information Technology
429,435,TXT,Textron Inc.,Industrials
430,436,BK,The Bank of New York Mellon Corp.,Financials
431,437,CLX,The Clorox Company,Consumer Staples
432,438,COO,The Cooper Companies,Health Care
433,439,HSY,The Hershey Company,Consumer Staples
434,440,MOS,The Mosaic Company,Materials
435,441,TRV,The Travelers Companies Inc.,Financials
436,442,DIS,The Walt Disney Company,Consumer Discretionary
437,443,TMO,Thermo Fisher Scientific,Health Care
438,444,TIF,Tiffany & Co.,Consumer Discretionary
439,445,TWX,Time Warner Inc.,Consumer Discretionary
440,446,TJX,TJX Companies Inc.,Consumer Discretionary
442,448,TSS,Total System Services,Information Technology
443,449,TSCO,Tractor Supply Company,Consumer Discretionary
444,450,TDG,TransDigm Group,Industrials
445,451,TRIP,TripAdvisor,Consumer Discretionary
446,452,FOXA,Twenty-First Century Fox Class A,Consumer Discretionary
447,453,FOX,Twenty-First Century Fox Class B,Consumer Discretionary
448,454,TSN,Tyson Foods,Consumer Staples
449,455,USB,U.S. Bancorp,Financials
450,456,UDR,UDR Inc,Real Estate
451,457,ULTA,Ulta Beauty,Consumer Discretionary
452,458,UAA,Under Armour Class A,Consumer Discretionary
453,459,UA,Under Armour Class C,Consumer Discretionary
454,460,UNP,Union Pacific,Industrials
455,461,UAL,United Continental Holdings,Industrials
456,462,UNH,United Health Group Inc.,Health Care
457,463,UPS,United Parcel Service,Industrials
458,464,URI,"United Rentals, Inc.",Industrials
459,465,UTX,United Technologies,Industrials
460,466,UHS,"Universal Health Services, Inc.",Health Care
461,467,UNM,Unum Group,Financials
462,468,VFC,V.F. Corp.,Consumer Discretionary
463,469,VLO,Valero Energy,Energy
464,470,VAR,Varian Medical Systems,Health Care
465,471,VTR,Ventas Inc,Real Estate
466,472,VRSN,Verisign Inc.,Information Technology
467,473,VRSK,Verisk Analytics,Industrials
468,474,VZ,Verizon Communications,Telecommunication Services
469,475,VRTX,Vertex Pharmaceuticals Inc,Health Care
470,476,VIAB,Viacom Inc.,Consumer Discretionary
471,477,V,Visa Inc.,Information Technology
472,478,VNO,Vornado Realty Trust,Real Estate
473,479,VMC,Vulcan Materials,Materials
474,480,WMT,Wal-Mart Stores,Consumer Staples
475,481,WBA,Walgreens Boots Alliance,Consumer Staples
476,482,WM,Waste Management Inc.,Industrials
477,483,WAT,Waters Corporation,Health Care
