,MainLSTMlayers,MainLSTMNodes,MainLSTMDropout,FinalLSTMNodes,FinalLSTMDropout,FinalDenseNodes,FinalDenseDropout,LearningRate,Decay,Val_acc,Training_acc
"(2, 32, 0.15, 32, 0.15, 64, 0.2, 0.0003, 3e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.2,0.0003,3e-07,0.5111694931983948,0.6567255258560181
"(2, 32, 0.15, 32, 0.15, 64, 0.2, 0.0003, 1e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.2,0.0003,1e-06,0.5124835968017578,0.6439440250396729
"(2, 32, 0.15, 32, 0.15, 64, 0.2, 0.0003, 3e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.2,0.0003,3e-06,0.5032851696014404,0.6183810234069824
"(2, 32, 0.15, 32, 0.15, 64, 0.2, 0.001, 1e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.2,0.001,1e-07,0.5348225831985474,0.7248935103416443
"(2, 32, 0.15, 32, 0.15, 64, 0.2, 0.001, 3e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.2,0.001,3e-07,0.5243101119995117,0.6798539161682129
"(2, 32, 0.15, 32, 0.15, 64, 0.2, 0.001, 1e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.2,0.001,1e-06,0.4770039319992066,0.7370663285255432
"(2, 32, 0.15, 32, 0.15, 64, 0.2, 0.001, 3e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.2,0.001,3e-06,0.5216820240020752,0.7194157242774963
"(2, 32, 0.15, 32, 0.15, 64, 0.2, 0.003, 1e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.2,0.003,1e-07,0.5059132575988771,0.7102860808372498
"(2, 32, 0.15, 32, 0.15, 64, 0.2, 0.003, 3e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.2,0.003,3e-07,0.4888304769992829,0.7181984186172485
"(2, 32, 0.15, 32, 0.15, 64, 0.2, 0.003, 1e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.2,0.003,1e-06,0.4901445508003235,0.7328058481216431
"(2, 32, 0.15, 32, 0.15, 64, 0.2, 0.003, 3e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.2,0.003,3e-06,0.4980289041996002,0.7419354915618896
"(2, 32, 0.15, 32, 0.15, 64, 0.25, 0.0001, 1e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.25,0.0001,1e-07,0.4730617702007294,0.5678636431694031
"(2, 32, 0.15, 32, 0.15, 64, 0.25, 0.0001, 3e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.25,0.0001,3e-07,0.5229960680007935,0.606816828250885
"(2, 32, 0.15, 32, 0.15, 64, 0.25, 0.0001, 1e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.25,0.0001,1e-06,0.5295663475990295,0.6049908995628357
"(2, 32, 0.15, 32, 0.15, 64, 0.25, 0.0001, 3e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.25,0.0001,3e-06,0.4862023591995239,0.5709068775177002
"(2, 32, 0.15, 32, 0.15, 64, 0.25, 0.0003, 1e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.25,0.0003,1e-07,0.5111694931983948,0.642726719379425
"(2, 32, 0.15, 32, 0.15, 64, 0.25, 0.0003, 3e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.25,0.0003,3e-07,0.5177398324012756,0.6488131284713745
"(2, 32, 0.15, 32, 0.15, 64, 0.25, 0.0003, 1e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.25,0.0003,1e-06,0.5335085391998291,0.6670724153518677
"(2, 32, 0.15, 32, 0.15, 64, 0.25, 0.0003, 3e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.25,0.0003,3e-06,0.4559789896011353,0.6597687005996704
"(2, 32, 0.15, 32, 0.15, 64, 0.25, 0.001, 1e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.25,0.001,1e-07,0.5098554491996765,0.703590989112854
"(2, 32, 0.15, 32, 0.15, 64, 0.25, 0.001, 3e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.25,0.001,3e-07,0.5111694931983948,0.7102860808372498
"(2, 32, 0.15, 32, 0.15, 64, 0.25, 0.001, 1e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.25,0.001,1e-06,0.496714860200882,0.7078514695167542
"(2, 32, 0.15, 32, 0.15, 64, 0.25, 0.001, 3e-06)",2.0,32.0,0.15,32.0,0.15,64.0,0.25,0.001,3e-06,0.52562415599823,0.7267194390296936
"(2, 32, 0.15, 32, 0.15, 64, 0.25, 0.003, 1e-07)",2.0,32.0,0.15,32.0,0.15,64.0,0.25,0.003,1e-07,0.4914585947990418,0.7376750111579895
